sample	paired	tissue	subtissue	origin	body_location
SRS333557	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS333572	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333574	y	Lung	Lung	Lung	Body
SRS333577	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS333584	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS333602	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333604	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS333625	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS333628	n	Blood	WholeBlood	WholeBlood	Body
SRS333631	y	Blood	WholeBlood	WholeBlood	Body
SRS333638	y	Lung	Lung	Lung	Body
SRS360123	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS360125	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS369431	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS369432	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS369433	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS369434	n	Cornea	Cornea_Fetal.Tissue	Cornea_FetalTissue	Cornea_Fetal.Tissue
SRS369435	n	Cornea	Cornea_Fetal.Tissue	Cornea_FetalTissue	Cornea_Fetal.Tissue
SRS374689	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374692	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374694	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374695	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374701	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS374705	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS374709	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374712	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS374714	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374715	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS374717	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS374718	y	Blood	WholeBlood	WholeBlood	Body
SRS374724	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS374725	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374727	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS374728	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS374729	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS374732	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374737	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS374741	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS374744	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS374749	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374768	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS374769	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374770	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374771	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS374772	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374777	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS374785	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS374788	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS374790	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374825	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS374836	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS374843	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS374868	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS374880	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS374898	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374899	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS374901	y	Blood	WholeBlood	WholeBlood	Body
SRS374903	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS374904	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS374905	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS374906	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS374907	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS374908	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS374910	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS374911	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS374914	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS374924	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS374951	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS374971	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS374981	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS374989	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS374994	y	Blood	WholeBlood	WholeBlood	Body
SRS374998	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS375002	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS377738	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS389017	y	Blood	WholeBlood	WholeBlood	Body
SRS389022	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS389040	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS389062	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS389103	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS389115	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS389134	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS389359	y	Blood	WholeBlood	WholeBlood	Body
SRS389364	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS389517	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS389523	y	Thyroid	Thyroid	Thyroid	Body
SRS389531	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS389539	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS389544	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS389595	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS389596	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS389597	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS389611	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS389616	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS389618	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS389646	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS389677	y	Blood	WholeBlood	WholeBlood	Body
SRS389718	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS389735	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS389760	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS389773	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS389787	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS389800	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS389818	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS389822	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS389825	y	Blood	WholeBlood	WholeBlood	Body
SRS389852	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS389859	y	Lung	Lung	Lung	Body
SRS389880	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS389883	y	Thyroid	Thyroid	Thyroid	Body
SRS389889	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS389893	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS389904	y	Lung	Lung	Lung	Body
SRS389911	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS389922	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS389933	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS389939	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS389975	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS389976	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS390015	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS390022	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS390607	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS390608	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS390609	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS390610	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS402526	n	RPE	RPE_Fetal.Tissue	RPE_FetalTissue	RPE_Fetal.Tissue
SRS402527	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS402528	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS402529	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS408134	y	Pituitary	Pituitary	Pituitary	Body
SRS408172	y	Pancreas	Pancreas	Pancreas	Body
SRS408181	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS408198	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS408235	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS408255	y	Kidney	Kidney-Cortex	Kidney-Cortex	Body
SRS408257	y	Adipose.Tissue	Adipose-VisceralOmentum	Adipose-VisceralOmentum	Body
SRS408258	y	Kidney	Kidney-Cortex	Kidney-Cortex	Body
SRS408281	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS408292	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS408302	y	Thyroid	Thyroid	Thyroid	Body
SRS408319	y	Stomach	Stomach	Stomach	Body
SRS408385	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS408421	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS408436	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS408452	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS408455	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS408457	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS408473	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS408492	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS408497	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS408548	y	Pituitary	Pituitary	Pituitary	Body
SRS408635	y	Blood.Vessel	Artery-Tibial	Artery-Tibial	Body
SRS408664	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS408666	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS408677	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS408678	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS408695	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS408705	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS408712	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS408724	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS408781	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS408795	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS408811	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS408820	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS408837	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS408851	y	Brain	Brain-Cerebellum	Brain-Cerebellum	Brain
SRS408873	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS408909	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS408915	y	Brain	Brain-CerebellarHemisphere	Brain-CerebellarHemisphere	Brain
SRS523795	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523800	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523802	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523803	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523804	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523812	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523815	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523818	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523833	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523835	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523847	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523848	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523850	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523854	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523856	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523858	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523860	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523900	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS523901	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS523902	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS524203	y	Stomach	Stomach	Stomach	Body
SRS524256	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS524280	y	Pancreas	Pancreas	Pancreas	Body
SRS524287	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS524324	y	Liver	Liver	Liver	Body
SRS524328	y	Stomach	Stomach	Stomach	Body
SRS524335	y	Blood	WholeBlood	WholeBlood	Body
SRS524387	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS524398	y	Stomach	Stomach	Stomach	Body
SRS524429	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS524460	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524467	y	Pancreas	Pancreas	Pancreas	Body
SRS524468	y	Spleen	Spleen	Spleen	Body
SRS524474	y	Pancreas	Pancreas	Pancreas	Body
SRS524477	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS524478	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS524479	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS524503	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS524504	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS524515	y	Liver	Liver	Liver	Body
SRS524523	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS524543	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS524554	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS524577	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS524584	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524589	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS524614	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS524627	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524636	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524653	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS524656	y	Blood	WholeBlood	WholeBlood	Body
SRS524666	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524677	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS524679	y	Spleen	Spleen	Spleen	Body
SRS524688	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS524696	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS524697	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS524701	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS524713	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS524723	y	Salivary.Gland	MinorSalivaryGland	MinorSalivaryGland	Body
SRS524725	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS524762	y	Blood	WholeBlood	WholeBlood	Body
SRS524804	y	Pancreas	Pancreas	Pancreas	Body
SRS524810	y	Pituitary	Pituitary	Pituitary	Body
SRS524829	y	Stomach	Stomach	Stomach	Body
SRS524836	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS524842	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS524843	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS524848	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS524857	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS524861	y	Adipose.Tissue	Adipose-VisceralOmentum	Adipose-VisceralOmentum	Body
SRS524873	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS524893	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS524894	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524900	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS524910	y	Spleen	Spleen	Spleen	Body
SRS524916	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS524938	y	Kidney	Kidney-Cortex	Kidney-Cortex	Body
SRS524944	y	Esophagus	Esophagus-GastroesophagealJunction	Esophagus-GastroesophagealJunction	Body
SRS524962	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS524970	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524979	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524981	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS524992	y	Liver	Liver	Liver	Body
SRS525023	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS525027	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS525085	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS525086	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS525095	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS525133	y	Spleen	Spleen	Spleen	Body
SRS525140	y	Kidney	Kidney-Cortex	Kidney-Cortex	Body
SRS525164	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS525189	y	Small.Intestine	SmallIntestine-TerminalIleum	SmallIntestine-TerminalIleum	Body
SRS525201	y	Esophagus	Esophagus-Muscularis	Esophagus-Muscularis	Body
SRS525216	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS525236	y	Spleen	Spleen	Spleen	Body
SRS525257	y	Pancreas	Pancreas	Pancreas	Body
SRS525275	y	Spleen	Spleen	Spleen	Body
SRS525281	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS525293	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS525320	y	Thyroid	Thyroid	Thyroid	Body
SRS525328	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS525337	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS525355	y	Colon	Colon-Sigmoid	Colon-Sigmoid	Body
SRS525360	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS525377	y	Liver	Liver	Liver	Body
SRS525396	y	Spleen	Spleen	Spleen	Body
SRS525966	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS525970	y	Small.Intestine	SmallIntestine-TerminalIleum	SmallIntestine-TerminalIleum	Body
SRS525994	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS526004	y	Liver	Liver	Liver	Body
SRS526012	y	Pituitary	Pituitary	Pituitary	Body
SRS526015	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS526026	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS526027	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS526037	y	Breast	Breast-MammaryTissue	Breast-MammaryTissue	Body
SRS526059	y	Nerve	Nerve-Tibial	Nerve-Tibial	Body
SRS526081	y	Salivary.Gland	MinorSalivaryGland	MinorSalivaryGland	Body
SRS526093	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS526097	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS526121	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS526134	y	Blood.Vessel	Artery-Coronary	Artery-Coronary	Body
SRS526135	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS526149	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS526157	y	Stomach	Stomach	Stomach	Body
SRS526178	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS526545	y	Small.Intestine	SmallIntestine-TerminalIleum	SmallIntestine-TerminalIleum	Body
SRS526546	y	Stomach	Stomach	Stomach	Body
SRS526561	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS526571	y	Salivary.Gland	MinorSalivaryGland	MinorSalivaryGland	Body
SRS526587	y	Esophagus	Esophagus-GastroesophagealJunction	Esophagus-GastroesophagealJunction	Body
SRS526593	y	Adipose.Tissue	Adipose-VisceralOmentum	Adipose-VisceralOmentum	Body
SRS526595	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS526628	y	Blood	WholeBlood	WholeBlood	Body
SRS526662	y	Spleen	Spleen	Spleen	Body
SRS526682	y	Skin	Cells-Transformedfibroblasts	Cells-Transformedfibroblasts	Body
SRS526702	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS526713	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS527991	y	Spleen	Spleen	Spleen	Body
SRS528005	y	Blood	Cells-EBV-transformedlymphocytes	Cells-EBV-transformedlymphocytes	Body
SRS534951	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS534952	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS534953	y	Liver	Liver	Liver	Body
SRS534957	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS542573	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS542574	n	Cornea	Cornea_Adult.Tissue	Cornea_AdultTissue	Cornea_Adult.Tissue
SRS623860	y	Esophagus	Esophagus-GastroesophagealJunction	Esophagus-GastroesophagealJunction	Body
SRS623878	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS623923	y	Esophagus	Esophagus-GastroesophagealJunction	Esophagus-GastroesophagealJunction	Body
SRS623942	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS623952	y	Liver	Liver	Liver	Body
SRS623961	y	Brain	Brain-Spinalcordcervicalc-1	Brain-Spinalcordcervicalc-1	Brain
SRS623978	y	Lung	Lung	Lung	Body
SRS624005	y	Colon	Colon-Transverse	Colon-Transverse	Body
SRS624008	y	Adrenal.Gland	AdrenalGland	AdrenalGland	Body
SRS624039	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS624051	y	Stomach	Stomach	Stomach	Body
SRS624497	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS624521	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS624987	y	Kidney	Kidney-Cortex	Kidney-Cortex	Body
SRS625003	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS625006	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS625010	y	Salivary.Gland	MinorSalivaryGland	MinorSalivaryGland	Body
SRS625189	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS625200	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS625205	y	Esophagus	Esophagus-Mucosa	Esophagus-Mucosa	Body
SRS625226	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS625232	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS625313	y	Thyroid	Thyroid	Thyroid	Body
SRS625328	y	Colon	Colon-Sigmoid	Colon-Sigmoid	Body
SRS625333	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS625351	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS625381	y	Skin	Skin-NotSunExposedSuprapubic	Skin-NotSunExposedSuprapubic	Body
SRS625400	y	Salivary.Gland	MinorSalivaryGland	MinorSalivaryGland	Body
SRS625420	y	Pancreas	Pancreas	Pancreas	Body
SRS625436	y	Blood.Vessel	Artery-Aorta	Artery-Aorta	Body
SRS625471	y	Thyroid	Thyroid	Thyroid	Body
SRS625496	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
